##Title: Ботаніка. Спэцыяльная (БНТ)
##HTMLDescription_BEGIN
<div>
	<p class="dictdesc-st">Створана на падставе:</p>
	<p><b>Ботаніка. Агульная і спэцыяльная</b>. Менск: Інбелкульт, 1924.</p>
</div>
<div>
	<p class="spoiler">Прадмова</p>
	<p>Проэкт беларускай ботанічнай тэрмінолёгіі, надрукованы ў гэтай кнізе, складаецца з дзьвюх частак. Першая зьмяшчае ў сабе тэрмінолёгію Агульнае Ботанікі (анатомія, морфолёгія і фізіолёгія расьлін) і складаецца з расійска-беларускага слоўніка і пры ім двох паказчыкаў − для лацінскіх і беларускіх тэрмінаў з Агульнае Ботанікі. Другая частка складаецца з лацінска-расійска-беларускага слоўніка назваў вышэйшых расьлін (гал. чынам Spermatophyta), спатыканых і агульна вядомых у Беларусі. Назвы сем‘яў, родаў і відаў расьлін зьмешчаны тут разам у парадку лацінскага альфабэту. Да асноўнага слоўніка дададзены два паказчыкі тэрмінаў − беларускі і расійскі. Дзякуючы гэтаму, адшукаць патрэбную назву ці тэрмін павінна быць даволі лёгка.</p>
	<p>Увесь проэкт тэрмінолёгіі быў уперад зложаны Дырэктарам Менскае Балотнае Станцыі, сябрам Інбелкульту <b>Вітольдам Міхальскім</b>. Пасьля на працягу 1922−1923 гадоў проэкт быў перагледжаны і прыняты Прыродазнаўчай Сэкцыяй Інстытуту Беларускае Культуры, а часткаю быў заслуханы і ў пленуме Інбелкульту. Найбольш значны ўдзел у гэтай працы па перагляду прыймалі сябры Інбелкульту С. Некрашэвіч, М. Азбукін, М. Грамыка, А. Круталевіч, Ч. Родзевіч і А. Смоліч.</p>
	<p>Першая частка проэкту (Агульная Ботаніка) была ўжо надрукована ў № 7−8 „Вест. Нар. Кам. Асьветы С. С. Р. Б.“ за 1922 г. Вымагала яна, аднак, пэўных паправак і дапаўненьняў. Папраўкі і дадаткі ў гэтую частку проэкту, а таксама ўпарадкаваньне і тэхнічная рэдакцыя абедзьвюх частак, улажэньне паказчыкаў і г. д. выпаўнены сябрам Інбелкульту Ар. Смолічам.</p>
	<p>Выпускаючы гэты сшытак тэрмінолёгіі ў сьвет, мусім адзначыць яе проэктовы характар. Беларуская мова мае дужа багаты запас ботанічных назваў і тэрмінаў, якія толькі часткова выяўлены; на грунце гэтага выяўленага народнага матар’ялу і пабудована нашая тэрмінолёгія. Аднак новыя запісы і досьледы дадуць, пэўна, шмат больш гэтага матар’ялу, чым яго было ў нашым карыстаньні, і тады можна будзе паправіць тыя недасканаласьці, якія могуць спаткацца ў гэтай працы.</p>
	<p>Усе ўвагі і дадаткі да ботанічнае тэрмінолёгіі трэба накіроўваць у Інстытут Беларускае Культуры (Менск, Наркампрос), у Прыродазнаўчую Сэкцыю.</p>
</div>
##HTMLDescription_END
##ArticleLang: la/ru/be

Abies Tourn	пихта	ельніца 
Myosotis intermedia Link.	незабудка средняя	незабудка сярэдняя 
Myosotis palustris	незабудка болотная	незабудка балотная 
Myosotis silvatica Hoffm.	незабудка лесная	незабудка лесавая 
Myriophyllum L.	уруть	шышняк 
Myriophyllum spicatum L.	уруть колосистый	шышняк каласовы 
Myriophyllum verticillatum L.	уруть мутовчатый	шышняк кружковы 
Narcissus L.	нарциз(нарцисс)	нарцыс 
Narcissus poeticus L.	нарциз(нарцисс) белый	нарцыс белы 
Nardus L.	белоус	сівец 
Nardus stricta L.	белоус вытянутый	сівец звычайны 
Nasturtium В. Br.	жеруха	кустоўнік 
Nasturtium amphibium В. Br.	жеруха земноводная	кустоўнік вадаземны 
Nasturtium officinale В. Br.	жеруха лекарственная	кустоўнік лекавы 
Nasturtium palustre DC.	жеруха болотная	кустоўнік балотны 
Nasturtium silvestre В. Br.	жеруха лесная	кустоўнік лесавы 
Neottia L.	гнездовка	гняздоўнік 
Neottia Nidus avis Bich.	гнездовка безлистная	гняздоўнік бязьлісты
Nereta L.	котовик	кацямятка 
Nereta Cataria L. 	котовик кошачий	кацямятка звычайная 
Nereta grandiflora MB.	котовик крупноцветный	кацямятка вялікакветная 
Nereta nuda L.	котовик голый	кацямятка голая 
Nicotiana Tourn.	табак	табака 
Nicotiana Tabacum L.	табак обыкновенный	табака тытун 
Nicotiana rustica L.	махорка	табака махорка 
Nuphar Sm.	кубышка	збанкі 
Nuphar luteum Sm.	кубышка желтая	збанкі  жоўтыя 
Nymphaea L.	кувшинка	вадзяніца 
Nymphaea alba L.	кувшинка белая	вадзяніца белая 
Odontites Hall.	зубчатка	дзярэга 
Odontites verna.		дзярэга веснавая 
Oenothera L.	ослинник	каўтунішнік 
Oenothera biennis L.	ослинник двулетний	каўтунішнік двохгадовы 
Onobrychis Tourn.	эспарсет	эспарцэта 
Onobrychis sativa Lm.	эспарсет кормовой	эспарцэта сеўная 
Ononis L.	стальник	ваўчук 
Ononis spinosa L.		ваўчук калючы 
Onopordon L.	татарник	бадзяк 
Onopordon Acanthium L.	татарник колючий	бадзяк калючы 
Onosma L.		калаколец 
Onosma arenarium Wetk.		калаколец пескавы 
Orchis L.	ятрышник	зязюлька 
Orchis incarnata L.	ятрышник лиловый	зязюлька чырвоная 
Orchis latifolia L.	ятрышник широколистный	зязюлька шыракалістая 
Orchis maculata L.	кукушкины слезки	зязюлька плямістая 
Orchis militaris L.	ятрышник шлемовидный	зязюлька вялікакветная 
Origanum L.	душица	мацярдушка 
Origanum vulgare L.	душица обыкновенная	мацярдушка звычайная 
Ornithopus L.	сераделла	сарадэля 
Ornithopus sativus Brot.		сарадэля сеўная 
Orobanchaceae.	заразиховые	заразавыя 
Orobanche L.	заразиха	зараза 
Orobanche arenaria Borkh.	заразиха песчаная	зараза пескавая 
Orobanche minor Lutt.		зараза малая 
Orobanche рurрurеа Jacg.	заразиха пурпуровая	зараза чырвоная 
Orobanche ramosa L.	заразиха ветвистая	зараза галіністая 
Orobus L.	сочевичник	зьвярэц 
Orobus albus L.	сочевичник белый	зьвярэц белы 
Orobus luteus L.		зьвярэц жоўты 
Orobus niger L.	сочевичник черный 	зьвярэц чорны 
Orobus vernus L.	сочевичник весенний	зьвярэц веснавы 
Oryza L.	рис	рыж 
Oryza sativa L.	рис посевный	рыж сеўны 
Oхаlidасеае DC.	кисличные	кісьліцавыя 
Oxalis L.	кислица	кісьліца 
Oxalis Acetosella L.	кислица обыкновенная	кісьліца звычайная 
Oxalis stricta L.	кислица прямостоячая	кісьліца жоўтая 
Paeonia L.	пион	півонія 
Paeonia peregrina Mill.		півонія звычайная 
Paeonia tenuifolia L.	пион тонколистный	півонія тонкалістая 
Panicum L.	просо	проса 
Panicum miliaceum L.	просо настоящее	проса праўдзівае 
Papaver L.	мак	мак 
Papaver Rhoeas L.	мак-самосейка	мак чырвоны 
Papaver somniferum L.	мак снотворный	мак сеўны 
Papaveraceae DC.	маковые	макавыя 
Paris L.	вороний глаз	мудранка 
Paris quadrifolia L.	вороний глаз четырехлистный 	мудранка чатырохлістая 
Parnassia Tourn.	белозор	відомец 
Parnassia palustris L.	белозор болотный	відомец балотны 
Pastinaca L.	пустернак	пастарнак 
Pastinaca sativa L.	пустернак посевный	пастарнак сеўны 
Pedicularis L.	мытник	увярэднік 
Pedicularis palustris L.	мытник болотный	увярэднік балотны 
Pedicularis Sceptrum Carolinium L. 	царский скипетр 	увярэднік вялізны 
Pedicularis Silvatica.		увярэднік лесавы 
Petasites Gärtn.	подбел	маташнік 
Petasites albus Gärtn.		маташнік белы 
Petasites officinalis Moench.	подбел лечебный	маташнік лекавы 
Petroselinum Hoffm.	петрушка	пятрушка 
Petroselinum sativum Hoffm.	петрушка огородная	пятрушка агародная 
Peucedanum L.	горичник	цьмянец 
Peucedanum Cervaria Cuss.	горичник олений	цьмянец аленевы 
Peucedanum officinale L.		цьмянец лекавы 
Peucedanum Oreoselinum Moench. 	горная петрушка 	цьмянец горны 
Peucedanum palustre Moench.	горичник болотный	цьмянец балотны 
Phalaris L.	канарейник	чаротніца 
Phalaris arundinacea L.	канарейник тростниковидный	чаротніца звычайная 
Phalaris canariensis L.	канарейное семя	чаротніца канарская 
Phaseolus L.	фасоль	хвасоля 
Phaseolus vulgaris.	фасоль обыкновенная 	хвасоля звычайная 
Philadelphus L	чубушник	язьмін 
Philadelphus coronarius L.	дикий жасмин	язьмін дзікі 
Phleum L.	аржанец	мяжоўка 
Phleum pratense L	тимофеевка (тимофеева трава) 	мяжоўка цімафейка 
Phragmites Trin.	тростник	чарот 
Phragmites communis Trin. 	тростник обыкновенный	чарот звычайны 
Pісеа Link.	ель	елка 
Pісеа excelsa Link.	ель обыкновенная	елка звычайная 
Pimpinella L.	бедренец	бядрынец 
Pimpinella Anisum L.	анис	бядрынец аныж 
Pimpinella magna L.	бедренец большой	бядрынец вялікі 
Pimpinella Saxifraga L.	бедренец камнеломка	бядрынец каменяломнік 
Pinus L.	сосна	хвоя 
Pinus silvestris L.	сосна обыкновенная	хвоя лесавая 
Pirola L	грушанка	грушаўнік 
Pirola media Sw.	грушанка средняя	грушаўнік сярэдні 
Pirola minor L.	грушанка малая	грушаўнік малы 
Pirola rotundifolia L.	грушанка круглолистная	грушаўнік круглалісты 
Pirola secunda L	грушанка однобокая	грушаўнік аднабокі 
Pirolaceae.	грушанковые	грушаўніковыя 
Pirus L.	яблоня, груша	ігруша 
Pirus communis L	груша 	ігруша звычайная 
Pirus Malus L.	яблоня	яблыня 
Pisum L.	горох	гарох 
Pisum arvense L.	пелюшка	гарох пялюшка 
Pisum sativum L.	горох огородный	гарох сеўны 
Plantaginaceae Ys.	подорожниковые	трыпутнікавыя 
Plantago L.	подорожник	трыпутнік 
Plantago major L.	подорожник большой	трыпутнік вялікі 
Plantago media L.	подорожник средний	трыпутнік сярэдні 
Plantago lanceolata L.	подорожник ланцетолистный	трыпутнік лянцэтаваты 
Platanus.	платан	плятан 
Platanus orientalis L.	чинар	плятан усходні 
Plathanthera Rich.	любка	чараўнік 
Plathanthera bifolia Rchb.	любка двулистная	чараўнік двохлісты 
Pоа L.	мятлик	мятлюжок 
Pоа аnnuа L.	мятлик однолетний	мятлюжок аднагадовы 
Pоа nemoralis L.	мятлик лесной 	мятлюжок гаёвы 
Pоа pratensis L.	мятлик луговой	мятлюжок лугавы 
Pоа palustris L.	мятлик поздний	мятлюжок балотны 
Pоа trivialis L.	мятлик обыкновенный	мятлюжок звычайны 
Polemonium L.	синюха	сінюшнік 
Polemonium coeruleum L	синюха обыкновенная	сінюшнік звычайны 
Polygala L.	истод 	крапінец 
Polygala amarella Grantz.	истод горкий	крапінец горкі 
Polygala vulgaris L.	истод обыкновенный	крапінец звычайны 
Polygalaceae.	истодовые	крапінцовыя 
Polygonaceae.	гречишные	драсёнавыя 
Polygonatum Тоurn.	купена 	куп-купена 
Polygonatum officinale All.	купена лекарственная	куп-купена лекавая 
Polygonatum multiflorum All.	купена многоцветковая	куп-купена многакветкавая 
Polygonum L.	горец	драсён 
Polygonum amphibium L.	горец земноводный	драсён вадаземны 
Polygonum aviculare L.	спорыш	драсён птушыны 
Polygonum Bistorta L.	раковые шейки	драсён вужоўнікавы 
Polygonum Convolvulus L	горец вьюнковый	драсён павойны 
Polygonum Persicaria L.	почечуйная трава	драсён звычайны 
Populus L.	тополь, осина	таполя 
Populus nigra L.	осокорь	ясакар 
Populus pyramidalis	пирамидальный тополь	таполя пірамідальная 
Populus tremula L	осина	асіна 
Potamogeton L.	рдест	урэчнік 
Potamogeton crispus L.	рдест курчавый	урэчнік кучаравы 
Potamogeton fluitans Rth.	рдест речной	урэчнік рэчны 
Potamogeton gramineus L.	рдест злачный	урэчнік травяністы 
Potamogeton natans L.	рдест плавающий	урэчнік плывучы 
Potentilla L	лапчатка	дуброўка 
Potentilla Anserina L.	гусиная лапка	дуброўка гусіная 
Potentilla canescens Bess.	лапчатка сероватая	дуброўка сівая 
Potentilla palustris Scop.	сабельник болотный	дуброўка балотная 
Potentilla Tormentilla Nech.	узик	дуброўка лесавая 
Primula L.	первоцвет	ключыкі 
Primula elatior Jacq.	первоцвет высокий	ключыкі высокія 
Primula officinalis Jacq.	первоцвет лекарственный	ключыкі лекавыя 
Primulaceae.	первоцветные	ключыкавыя 
Prunus L.		сьліва 
Prunus cerasus L.	вишня садовая	вішня 
Prunus domestica L.	слива	сьліва звычайная 
Prunus Padus L.	черемуха обыкновенная  	чарэмха 
Pteridophytae.	папоротникообразные 	папарацьвідныя 
Pulicaria Gaertn.	блошница	уман 
Pulicaria vulgaris Gaertn.	блошница обыкновенная	уман звычайны 
Pulmonaria L.	медуница	шчамяліца 
Pulmonaria azurea Bess	медуница узколистная	шчамяліца вузкалістая 
Pulmonaria officinalis L.	медуница лекарственная	шчамяліца лекавая 
Pulsatilla Tourn.	прострел	сон 
Pulsatilla patens Mill.	сон-трава	сон звычайны 
Pulsatilla pratensis Mill.	прострел луговой	сон лугавы 
Quercus L.	дуб	дуб 
Quercus Robur L	дуб летний	дуб лядны 
Quercus sessiliflora Smith	дуб зимний	дуб звычайны 
Ranunculaceae Jss.	лютиковые	казяльцовыя 
Ranunculus L.	лютик	казялец 
Ranunculus acer L.	лютик едкий	казялец востры 
Ranunculus aquatilis L.	лютик малотычинковый	казялец вадзяны 
Ranunculus arvensis.		казялец палявы 
Ranunculus auricomus L.	лютик золотистый	казялец залацісты 
Ranunculus Flammula L. 	прищинец 	казялец вогнікавы 
Ranunculus Lingua L.	лютик большой (болотный) 	казялец вялікі 
Ranunculus repens L.	лютик ползучий	казялец паўзучы 
Ranunculus sceleratus L.	лютик ядовитый	казялец атрутны 
Raphanus Tourn.	редька	сьвірэпка 
Raphanus Raphanistrum L.	дикая редька	сьвірэпка звычайная 
Raphanus Sativus L.	редька огородная	рэдзька 
Reseda L.	резеда	разэда 
Reseda odorata L.		разэда пахучая 
Resedaceae.	резедовые	разэдавыя 
Rhamnaceae.	крушинные	крушынавыя 
Rhamnus L.	крушина	крушына 
Rhamnus cathartica L.	крушина слабительная	крушына звычайная 
Rhamnus Frangula L.	крушина ломкая	крушына крохкая 
Ribes L.	смородина, крыжовник  	парэчкі 
Ribes grossularia L.	крыжовник	агрэст 
Ribes nigrum L.	смородина черная 	парэчкі чорныя 
Ribes rubrum L.	смородина красная	парэчкі чырвоныя 
Rosa L.	роза	рожа 
Rosa canina L.	роза собачья (дикая) 	рожа сабачая (дзікая) 
Rosa cinnamomea L.	шиповник	рожа Шыпшына 
Rosa galliсa L.	роза французская	рожа француская 
Rosaceae.	розоцветные	рожавыя 
Rosmarinus.	розмарин	розмар’ян 
Rubus L.	малина	маліна 
Rubus caesius L.	ежевика	ажына 
Rubus idaeus L	малина обыкновенная 	маліна звычайная 
Rubus saxatilis L.	костяника	касьцянка 
Rumex L	щавель	шчаўе 
Rumex Acetosa L.	щавель кислый	шчаўе праўдзівае 
Rumex Acetosella L.	щавель малый	шчаўе малае 
Rumex aquaticus L.	щавель водяной	шчаўе вадзянае 
Rumex crispus L.	щавель курчавый	шчаўе кучаравае 
Ruta L.	рута	рута 
Ruta graveolens L.		рута агародная 
Rutaceae.		рутавыя 
Sagina L.	мшанка	гарыца 
Sagina nodosa L.	мшанка узловатая	гарыца вузлаватая 
Sagina procumbens L.	мшанка лежачая	гарыца ляжачая 
Sagittaria L.	стрелолист	стрэліца 
Sagittaria sagittifolia L.	стрелолист обыкновенный	стрэліца стрэлкалістая 
Salicaceae.	ивовые	вярбовыя 
Salix L.	ива	вярба 
Salix acutifolia Willd.	красная верба	вярба чырвоная 
Salix alba L.	ветла	вярба звычайная 
Salix Caprea L.	бредина	вярба брэднік 
Salix fragilis L.	ива хрупкая, ракита 	вярба крохкая 
Salix Lapponum L.	ива лапландская	вярба ляпляндзкая 
Salix pentandra L.	чернотал	вербалоз 
Salix rosmarinifolia L.	тальник	лаза ніцая 
Salix viminalis L.	лоза	лаза 
Salvia L.	шалфей	шалвея 
Salvia officinalis.	шалфей лекарственный	шалвея лекавая 
Salvia pratensis L.	шалфей луговой	шалвея лугавая 
Salvia silvestris L.		шалвея лесавая 
Sambucus L.	бузина	бузіна 
Sambucus nigra L.	бузина черная	бузіна чорная 
Sambucus racemosa L.	бузина красная	бузіна галіністая 
Sanguisorba L.	кровохлебка	крывасмок 
Sanguisorba officinalis L.	кровохлебка лекарственная	крывасмок лекавы 
Sanicula L.	подлесник	трапечнік 
Sanicula еurораеа L	подлесник европейский	трапечнік эўропэйскі 
Saponaria L.	мыльнянка	мыльнік 
Saponaria officinalis L.	мыльнянка лекарственная	мыльнік лекавы 
Satureja Rivin.	чабер	cатурэя 
Satureja hortensis L.	чабер садовый	cатурэя садовая 
Saxifraga L.	камнеломка	каменяломнік 
Saxifraga Hirculus L.	царские очи	каменяломнік балотны 
Saxifragaceae.	камнеломковые	каменяломнікавыя 
Scabiosa Roem et Sch.	скабиоза	купніца 
Scabiosa Columbaria L.		купніца блакітная 
Scabiosa осhroleuca L.	скабиоза желтая	купніца жоўтая 
Scheuchzeria L.		шэўхцэрыя 
Scheuchzeria palustris L.		шэўхцэрыя балотная 
Scirpus L.	камыш	міліца, сітняк 
Scirpus caespitosus L.		міліца дзёрнавая 
Scirpus lacustris L.		міліца вазёрная 
Scirpus palustris L.	камыш болотный	міліца балотная 
Scirpus silvaticus L.	камыш лесной	міліца лесавая 
Scleranthus L.	дивала	галадок 
Scleranthus annuus L.	дивала однолетняя	галадок адналетні 
Scleranthus perennis L	дивала многолетняя	галадок многалетні 
Scorzonera L.	козелец	чарнакорань 
Scorzonera humilis L.	козелец приземистый	чарнакорань нізкі 
Scrofularia L.	норичник	залозніца 
Scrofularia alata Gilib.	норичник крылатый	залозніца крылатая 
Scrofularia aquatica L.		залозніца вадзяная 
Scrofularia nodosa L.	норичник шишковатый	залозніца вузлаватая 
Scrofulariaceae R. Br.	норичниковые	залозьнікавыя 
Secale L.	рожь	жыта 
Secale cereale L.	рожь обыкновенная	жыта звычайнае 
Sedum L.	очиток	расходнік 
Sedum acre L.	очиток едкий	расходнік востры 
Sedum maximum Sutt.	заячья капуста	расходнік вялікі 
Sempervivum L	молодил	скочкі 
Sempervivum soboliferum Sims	молодил остролистный	скочкі востралісьцёвыя 
Sempervivum tectorum L.		скочкі дахавыя 
Senecio Tourn.	крестовник	старасьцень 
Senecio nemorensis L		старасьцень гаёвы 
Senecio paluster DC.	выпадошная трава	старасьцень балотны 
Senecio sarracenicus Jack.	крестовник приречный	старасьцень сарацэнскі 
Senecio silvaticus L.	крестовник лесной	старасьцень лесавы 
Senecio vulgaris L.	крестовник обыкновенный	старасьцень звычайны 
Serratula L.	серпуха	сярпок 
Serratula tinctoria L.	серпуха красильная	сярпок фарбоўны 
Setaria РВ.	щетинник	мяшэй 
Setaria glauca РВ.	щетинник сизый	мяшэй сінявы 
Setaria verticillata РВ.		мяшэй акружкавы 
Setaria viridis РВ.	щетинник зеленый	мяшэй зялёны 
Silene L	смолевка	ляскатуха 
Silene noctiflora L.	смолевка ночецветная	ляскатуха ночакветная 
Silene nutans L.	смолевка поникшая	ляскатуха ніцая 
Silene vulgaris Garcke.		ляскатуха звычайная 
Silybum Grtn.		калючка 
Silybum Marianum Grtn.	остро-пестро	калючка лекавая 
Sinapis L.	горчица	гарчыца 
Sinapis alba L.	горчица белая	гарчыца белая 
Sinapis arvensis L.	горчица полевая	гарчыца палявая 
Sisymbrium L.	гулявник	кудзер 
Sisymbrium officinale Scop.	гулявник лекарственный 	кудзер лекавы 
Solanaceae.	пасленовые	лісьнікавыя 
Solanum L.	паслен	лісьнік 
Solanum Dilcamara L.	паслен сладко-горький	лісьнік салодкагоркі 
Solanum Lycopersicum L.	томаты, помидоры 	памідоры 
Solanum nigrum L.	паслен черный	лісьнік чорны 
Solanum tuberosum L.	картофель	бульба 
Solidago L.	золотарник	сумнік 
Solidago virga aurea L.	золотая розга	сумнік залацісты 
Sonchus L.	осот желтый	жаўтасот 
Sonchus arvensis L.	осот полевой	жаўтасот палявы 
Sonchus asper Vill.	осот жесткий	жаўтасот жорсткі 
Sonchus oleraceus L.	осот огородный	жаўтасот агародны 
Sonchus paluster L.	осот болотный	жаўтасот балотны 
Sorbus L	рябина	рабіна 
Sorbus aucuparia L.	рябина обыкновенная	рабіна звычайная 
Sparganium L	ежеголовка	плюшчэй 
Sparganium minimum Fr.	ежеголовка малая	плюшчэй найменшы 
Sparganium ramosum Huds.	ежеголовка ветвистая	плюшчэй галіністы 
Sparganium simplex Huds.	ежеголовка простая	плюшчэй просты 
Spergula L.	торица	сьвінакроп 
Spergula arvensis L.	торица пашенная	сьвінакроп палявы 
Spiraea	спирея	сьпірэя 
Spiraea salicifolia L.	спирея иволистная	сьпірэя вербалістая 
Stachys L.	чистец	чысьцік 
Stachys annua L.	чистец однолетний	чысьцік аднагадовы 
Stachys palustris L.	чистец болотный	чысьцік балотны 
Stachys silvatica L.	чистец лесной	чысьцік лесавы 
Stellaria L.	звездчатка	зоркаўка 
Stellaria aquatica Scop.		зоркаўка вадзяная 
Stellaria graminea L.	звездчатка злачная	зоркаўка травяністая 
Stellaria Holostea L.	звездчатка лесная	зоркаўка вялікакветная 
Stellaria media vill.	мокрица	макрыца 
Stellaria nemorum L.	звездчатка лесная 	зоркаўка гаёвая 
Stipa L.	ковыль	кавыль 
Stipa pennata L.	ковыль перистый	кавыль перкаваты 
Stratiotes L.	телорез	разак 
Stratiotes aloides L.	телорез сабуровидный	разак вадзяны 
Succisa	сивец	каманішнік 
Succisa praemorsa Aschers	сивец луговой	каманішнік лугавы 
Sympetalae	сростнолепестные 	зрослапялёсткавыя 
Symphytum L.	окопник	жывакост 
Symphytum officinale L.	окопник лекарственный	жывакост лекавы 
Syringa L.	сирень	бэз 
Syringa vulgaris L.	сирень обыкновенная	бэз звычайны 
Tanacetum L.	пижма	піжма 
Tanacetum vulgare L.	пижма обыкновенная	піжма звычайная 
Tanacetum Balsamita L.	кануфер	калуфер 
Taraxacum Juss.	одуванчик	дмухавец 
Taraxacum vulgare Schrank.	одуванчик лекарственный	дмухавец звычайны 
Thalictrum L	василистник	пылюшнік 
Thalictrum angustifolium Jack.	василистник узколистный	пылюшнік вузкалісты 
Thalictrum aquilegifolium L.	василистник водосборолистный 	пылюшнік ворлікалісты 
Thalictrum flavum L.	василистник желтый	пылюшнік жоўты 
Thalictrum minus L.		пылюшнік малы 
Thea	чайное дерево	гарбатнік 
Thesium L.		ядранец 
Thesium ebracteatum Hayne.		ядранец звычайны 
Thlaspi Dill.	ярутка	торбачнік 
Thlaspi arvense L.	ярутка полевая	торбачнік палявы 
Thymus L.	тимьян	чабор 
Thymus Serpyllum L.	богородская трава	чабор звычайны 
Tilia L.	липа	ліпа 
Tilia cordata Mill.	липа мелколистная	ліпа сэрцалістая 
Tilia platyphylla Scop.	липа крупнолистная	ліпа вялікалістая 
Tiliaceae.	липовые	ліпавыя 
Tragopogon L.	козлобородник	казлабарод 
Tragopogon pratensis L.	козлобородник луговой	казлабарод лугавы 
Trapa L.	рогульник	вадзяны арэх 
Trapa natans L.	водяные орехи	вадзяны арэх плывучы 
Trapa v. muzzanensis Jäggi.		вадзяны арэх бярэзінскі 
Trientalis L.	седмичник	седмачок 
Trientalis europaea L.	седмичник европейский	седмачок эўропэйскі 
Trifolium L.	клевер	дзяцеліна 
Trifolium arvense L.	клевер пашенный	дзяцеліна ральлёвая 
Trifolium hybridum L.	клевер красно-белый	дзяцеліна швэдзкая 
Trifolium montanum L.	белоголовка	дзяцеліна горная 
Trifolium pratense L.	дятлина красная	дзяцеліна чырвоная 
Trifolium repens L.	клевер ползучий	дзяцеліна белая 
Trifolium spadiceum L.	клевер темноцветный	дзяцеліна цёмная 
Triglochin L.	триостренник	трынасеньнік 
Triglochin palustris L.	триостренник болотный	трынасеньнік балотны 
Triodia R. Br.		трызубка 
Triodia decumbens PB.		трызубка звычайная 
Triticum L.	пшеница	пшаніца 
Triticum durum Dest.	пшеница твердая	пшаніца цьвярдая 
Triticum monococcum L.	оркиш	пшаніца воркіш 
Triticum vulgare Vill.	пшеница обыкновенная	пшаніца звычайная 
Trollius L.	купальница	пярэсна 
Trollius europaeus L.	купальница европейская	пярэсна эўропэйская 
Tuliра L.	тюльпан	туліпан 
Tuliра silvestris L.		туліпан лесавы 
Turritis Dill.	вяжечка	вежыца 
Turritis glabra L.	вяжечка гладкая	вежыца гладкая 
Tussilago L.		падбел 
Tussilago Farfara L.	мать и мачеха	падбел звычайны 
Typha L.	рогоз	пухоўка 
Typha latifolia L.	рогоз широколистный 	пухоўка шыракалістая 
Typha angustifolia L.	рогоз узколистный	пухоўка вузкалістая 
Tурhасеае.	рогозовые	пухоўкавыя 
Ulmaceae.	вязовые	вязовыя 
Ulmus L	вяз	вяз 
Ulmus effusa Willd.	вяз раскидистый	вяз разложысты 
Ulmus campestris auct.	илим	бераст 
Umbelliferae.	зонтичные	парасонавыя 
Urtica L.	крапива	крапіва 
Urtica dioica L.	крапива двудомная	крапіва рознапнёвая 
Urtica urens L.	крапива жгучая	крапіва джыгучка 
Urticaceae.	крапивные	крапіўныя 
Utricularia L.	пузырчатка	плывунец 
Utricularia vulgaris L.	пузырчатка обыкновенная	плывунец звычайны 
Vacciniaceae.	брусничные	баравіцавыя 
Vaccinium L.	черника, брусника	баравіца 
Vaccinium Myrtillus L.	черника	баравіца чарніца 
Vaccinium Oxycoccus L.	клюква	баравіца журавіна 
Vaccinium uliginosum L.	голубика (пьяница)	баравіца буякі 
Vaccinium Vitis idaea L. 	брусника 	баравіца брусьніца 
Valeriana L.	маун	валяр’яна 
Valeriana officinalis L.	маун аптечный	валяр’яна лекавая 
Valerianaceae.	мауновые	валяр’янавыя 
Veratrum L.	чемерица	чамярыца 
Veratrum album L.	чемерица Лобелиева	чамярыца белая 
Verbascum L.	коровяк	дзіванна 
Verbascum nigrum L.	коровяк черный	дзіванна чорная 
Verbascum Thapsus L.	медвежье ухо	дзіванна вялікая 
Verbascum phlomoides L.	коровяк мохнатый	дзіванна фіалетавая 
Verbena L.	вербена	вэрбэна 
Verbena officinalis L.	вербена лекарственная	вэрбэна лекавая 
Verbenaceae	вербеновые	вэрбэнавыя 
Veronica L.	вероника	вароніка 
Veronica Beccabunga L.	поточник	вароніка балотная 
Veronica Chamaedrys L.	дубровка	вароніка гаёвая 
Veronica officinalis L.	дубровка лекарственная	вароніка лесавая 
Veronica spicata L.	Андреев крест	вароніка каласковая 
Viburnum L.	калина	каліна 
Viburnum Opulus L.	калина обыкновенная	каліна звычайная 
Vicia L.	горошек	віка 
Vicia Cracca L	горошек мышиный	віка птушыная 
Vicia Faba L	конские бобы	боб 
Vicia sativa L.	горошек кормовой	віка сеўная 
Vicia sepium L.	горошек заборный	віка падплотная 
Vinca L.	барвинок	барвінак 
Vinca minor L.	барвинок малый	барвінак малы 
Vincetoxicum Moench.	ласточник	птушанец 
Vincetoxicum officinale Moench	ласточник лекарственный	птушанец лекавы 
Viola L.	фиалка	браткі 
Viola odorata L.	фиалка душистая	браткі пахучыя 
Viola palustris L.	фиалка болотная	браткі балотныя 
Viola tricolor L.	анютины глазки	браткі звычайныя 
Violaceae	фиалковые	браткавыя 
Viscum L.		емяла 
Viscum album L.		емяла белая 
Viscaria L.	дрема (смолка)	смолка 
Viscaria vulgaris Röhl.		смолка звычайная 
Zea L.	кукуруза	кіяхі 
Zea Mays L.		кіяхі сеўныя 
